FID_,LEFT_FID,RIGHT_FID,ORIG_FID,X,Y
,-1,24,1,193308,3244994
,-1,24,1,193465,3246933
,-1,24,1,200822,3254392
,-1,24,1,203240,3256426
,-1,24,1,203860,3257700
,-1,24,1,205208,3259006
,-1,24,1,206709,3260532
,-1,24,1,208018,3261914
,-1,24,1,208776,3262941
,-1,24,1,209169,3265197
,-1,24,1,209128,3266378
,-1,24,1,206287,3268009
,-1,24,1,203627,3270569
,-1,24,1,202339,3271087
,-1,24,1,201292,3270682
,-1,24,1,199393,3270396
,-1,24,1,198511,3270369
,-1,24,1,195631,3270064
,-1,24,1,196079,3271149
,-1,24,1,196517,3271709
,-1,24,1,196966,3272069
,-1,24,1,198334,3272458
,-1,24,1,197918,3272602
,-1,24,1,198146,3273742
,-1,24,1,198311,3273963
,-1,24,1,198589,3274202
,-1,24,1,199181,3273588
,-1,24,1,199366,3274514
,-1,24,1,196503,3275448
,-1,24,1,196417,3275499
,-1,24,1,196148,3277293
,-1,24,1,193371,3278625
,-1,24,1,192825,3278740
,-1,24,1,193175,3280701
,-1,24,1,193137,3283122
,-1,24,1,192182,3284208
,-1,24,1,195274,3287336
,-1,24,1,194357,3289629
,-1,24,1,194100,3290810
,-1,24,1,193321,3293424
,-1,24,1,189705,3306512
,-1,24,1,187284,3314633
,-1,24,1,186229,3318607
,-1,23,2,-193432,3322893
,-1,23,2,-195062,3321063
,-1,23,2,-195368,3320835
,-1,23,2,-197077,3320830
,-1,23,2,-196064,3318897
,-1,23,2,-195213,3317666
,-1,23,2,-194849,3317054
,-1,23,2,-195652,3314676
,-1,23,2,-195876,3314275
,-1,23,2,-197038,3310935
,-1,23,2,-198088,3307689
,-1,23,2,-198779,3305807
,-1,23,2,-199130,3304923
,-1,23,2,-199923,3302690
,-1,23,2,-199942,3302267
,-1,23,2,-199386,3301454
,-1,23,2,-199328,3300646
,-1,23,2,-199357,3299744
,-1,23,2,-198818,3298519
,-1,23,2,-198359,3297912
,-1,23,2,-198864,3297516
,-1,23,2,-199769,3297299
,-1,23,2,-200627,3298487
,-1,23,2,-201626,3300554
,-1,23,2,-203623,3300657
,-1,23,2,-204063,3299678
,-1,23,2,-204512,3299000
,-1,23,2,-205518,3298936
,-1,23,2,-207794,3299248
,-1,23,2,-207849,3297945
,-1,23,2,-208867,3297592
,-1,23,2,-209988,3297446
